municipality_id,source_id,資料名,資料種別,公式URL,発行主体,対象年度,ページ更新日,取得確認日,使用した情報,優先度,現行性,備考,official_verified,official_basis,official_linking_url
M074,S-M074-01,ごみの分別や出し方,自治体公式Webページ,https://www.city.takahashi.lg.jp/soshiki/14/gomibunbetsu.html,高梁市,令和8年度,2026-02-16,2026-08-19,燃やせる/燃やせない/びん/かん/PET/その他プラ/紙類の住民区分と前処理,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M075,S-M075-01,ごみの分別・出し方,自治体公式Webページ,https://www.city.niimi.okayama.jp/kurashi/kurashi_detail/index/37602.html,新見市,令和8年度,現行,2026-08-19,可燃・埋立・資源ごみ（再資源化物）・粗大ごみの住民区分,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M077,S-M077-01,家庭ごみの出し方,自治体公式Webページ,https://www.city.setouchi.lg.jp/soshiki/14/138748.html,瀬戸内市,令和8年度,2026-03-17,2026-08-19,令和8年度カレンダー・分別マニュアルへの現行導線,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M077,S-M077-02,令和8年度ごみ収集カレンダー（牛窓地区）,自治体公式PDF,https://www.city.setouchi.lg.jp/uploaded/attachment/126501.pdf,瀬戸内市,令和8年度,2026,2026-08-19,現行9収集ラベル,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M077,S-M077-03,プラスチック資源の一括回収について,自治体公式Webページ,https://www.city.setouchi.lg.jp/soshiki/14/154186.html,瀬戸内市,令和8年度,2025-10-17,2026-08-19,令和8年4月から製品プラスチックを含めた一括回収,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M077,S-M077-04,パッカー車（ごみ収集車）で火が出る事故がありました！！,自治体公式Webページ,https://www.city.setouchi.lg.jp/soshiki/14/139499.html,瀬戸内市,現行,2023-12-21,2026-08-19,スプレー缶・カセット式ガスボンベは安全機構を利用し中身を完全に出し切ってから金物類へ出す現行安全案内,1,現行案内中,旧マニュアルの穴あけ記載より、現在の市公式火災防止ページの安全なガス抜き案内を優先。穴あけを必須条件として補作しない。,TRUE,MUNICIPAL_DOMAIN,
M078,S-M078-01,ごみの分別,自治体公式Webページ,https://www.city.akaiwa.lg.jp/kurashi/gomi/gomi/kankyo_center/gomibunbetu/index.html,赤磐市,令和8年度,現行,2026-08-19,2026年度カレンダーと分別資料への公式索引,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M078,S-M078-02,2026年度ごみカレンダー,自治体公式Webページ,https://www.city.akaiwa.lg.jp/kurashi/gomi/gomi/kankyo_center/gomibunbetu/7755.html,赤磐市,令和8年度,2026,2026-08-19,A/B/C/D地域で共通する現行分別ラベル,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M078,S-M078-03,プラスチック資源回収,自治体公式Webページ,https://www.city.akaiwa.lg.jp/annai/shiminseikatsu/kankyou/kurashi/kankyo_eisei/gomi/kankyo_center/gomibunnbetu/9352.html,赤磐市,令和8年度,2026-07-07,2026-08-19,プラスチック製容器包装と製品プラスチックをプラスチック資源として回収,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M079,S-M079-01,令和8年度のごみ収集日程及び家庭ごみ分別表について,自治体公式Webページ,https://www.city.maniwa.lg.jp/soshiki/171/98300.html,真庭市,令和8年度,2026-04-01,2026-08-19,分別表に(1)～(16)があることを明示,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M079,S-M079-02,家庭ごみ分別表（全地域）,自治体公式PDF,https://www.city.maniwa.lg.jp/uploaded/attachment/35804.pdf,真庭市,令和8年度,現行配布,2026-08-19,16区分の正式名称と代表品目・前処理,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M080,S-M080-01,ごみの出し方,自治体公式Webページ,https://www.city.mimasaka.lg.jp/soshiki/shimin/kankyo/Cleancenter/life_guide01.html,美作市,令和8年度,現行,2026-08-19,実際の分別コンテナ・袋ごとの詳細区分と前処理,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M080,S-M080-02,令和8年度ごみカレンダー,自治体公式PDF,https://www.city.mimasaka.lg.jp/material/files/group/14/REIWA8NENNDOGOMMIKARENNDA-1.pdf,美作市,令和8年度,令和8年度,2026-08-19,現年度に同区分体系が稼働すること,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M081,S-M081-01,家庭ごみの出し方,自治体公式Webページ,https://www.city.asakuchi.lg.jp/page/1109.html,浅口市,令和8年度,2024-03-19,2026-08-19,令和7年12月15日以降の変更と各地域ページへの公式索引,1,現行,,TRUE,MUNICIPAL_DOMAIN,
