municipality_id,都道府県,市町村,実装区分,ごみ処理主体,自治体ごみトップURL,分別ガイドURL,品目検索URL,やさしい日本語URL,多言語資料URL,対象年度,最終確認日,確認ステータス,備考,official_category_count,reviewed_category_count,category_count_basis,category_count_verified,category_count_check_status,category_count_review_id,category_count_reviewed_date,category_count_reviewed_by,search_service_check_status,search_service_check_evidence,easy_japanese_check_status,easy_japanese_check_evidence,multilingual_check_status,multilingual_check_evidence
M034,鳥取県,若桜町,中国5県全市町村,若桜町／鳥取県東部広域行政管理組合,https://www.town.wakasa.tottori.jp/soshikikarasagasu/zeimujuminka/gyoumuannai/chominka/1/1/1/574.html,https://www.town.wakasa.tottori.jp/soshikikarasagasu/zeimujuminka/gyoumuannai/chominka/1/1/1/574.html,,,,令和8年度,2026-08-19,QA_PASSED,住民向け分別ページの8区分と収集不可案内を照合。令和6年4月変更を反映。,,8,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M034-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
M035,鳥取県,智頭町,中国5県全市町村,智頭町／鳥取県東部広域行政管理組合,https://www1.town.chizu.tottori.jp/chizu/zeimu/gomi/bunbetsu/bunrui/,https://www1.town.chizu.tottori.jp/chizu/zeimu/gomi/bunbetsu/bunrui/,,,,令和8年度,2026-08-19,QA_PASSED,公式分類ページ8区分を、令和8年度収集カレンダーで現行運用確認。,,8,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M035-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
M036,鳥取県,八頭町,中国5県全市町村,八頭町／鳥取県東部広域行政管理組合,https://www.town.yazu.tottori.jp/site/gomi/,https://www.town.yazu.tottori.jp/site/gomi/1048.html,,,,令和8年度,2026-08-19,QA_PASSED,令和6年4月版手引き8区分を、令和8年度カレンダーと現行公式ごみサイトで確認。,,8,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M036-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
M037,鳥取県,三朝町,中国5県全市町村,三朝町／鳥取中部ふるさと広域連合,https://www.town.misasa.tottori.jp/315/319/324/764/1901/1906/,https://www.town.misasa.tottori.jp/315/319/324/764/1901/1906/,,,,令和8年度,2026-08-19,QA_PASSED,令和8年度前期収集日程の住民向け11ラベルを採用。充電式電池の有害ごみ化を反映。,,11,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M037-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
M038,鳥取県,湯梨浜町,中国5県全市町村,湯梨浜町／鳥取中部ふるさと広域連合,https://www.yurihama.jp/soshiki/4/1431.html,https://www.yurihama.jp/soshiki/4/1431.html,,,,令和8年度,2026-08-19,QA_PASSED,住民向け冊子の12区分を採用し、令和8年度日程と有害ごみ現行運用を照合。,,12,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M038-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
M039,鳥取県,琴浦町,中国5県全市町村,琴浦町／鳥取中部ふるさと広域連合,https://www.town.kotoura.tottori.jp/docs/2012121300677/,https://www.town.kotoura.tottori.jp/docs/2012121300677/,,,,令和8年度,2026-08-19,QA_PASSED,2026年7月更新の家庭ごみページ13区分と令和8年度日程を照合。,,13,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M039-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
M040,鳥取県,北栄町,中国5県全市町村,北栄町／鳥取中部ふるさと広域連合,https://www.e-hokuei.net/soshiki/5/1341.html,https://www.e-hokuei.net/soshiki/5/1341.html,,,,令和8年度,2026-08-19,QA_PASSED,住民向け12区分を採用。令和8年度から充電池を有害ごみとして新規回収する現行変更を反映。,,12,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M040-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
M041,鳥取県,日吉津村,中国5県全市町村,日吉津村,https://www.hiezu.jp/%E5%AE%B6%E5%BA%AD%E3%82%B4%E3%83%9F%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/,https://www.hiezu.jp/%E5%90%84%E8%AA%B2%E4%B8%80%E8%A6%A7/%E4%BD%8F%E6%B0%91%E8%AA%B2/%E7%92%B0%E5%A2%83%E3%83%BB%E3%82%B4%E3%83%9F/%E3%82%B4%E3%83%9F/%E3%82%B4%E3%83%9F%E3%81%AE%E5%88%86%E3%81%91%E6%96%B9%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/,,,,令和8年度,2026-08-19,QA_PASSED,現在の収集案内で住民が選択する7ラベルを採用。詳細50音表は品目条件の補助根拠。,,7,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M041-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
M042,鳥取県,大山町,中国5県全市町村,大山町／鳥取県西部広域行政管理組合,https://www.daisen.jp/10/4/4/m855/n462/,https://www.daisen.jp/user/filer_public/b1/61/b1611d62-e336-4068-8123-b4ec28cb25f6/gomi-funbetu-tebiki-kaiteiban.pdf,,,,令和8年度,2026-08-19,QA_PASSED,令和8年1月改訂版手引きを主根拠とし、令和8年4月変更・現行日程を反映。廃止2区分は除外。,,14,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M042-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
M043,鳥取県,南部町,中国5県全市町村,南部町／南部町・伯耆町清掃施設管理組合,https://www.town.nanbu.tottori.jp/admin/chouminseikatsuka/gomi1/,https://www.town.nanbu.tottori.jp/admin/chouminseikatsuka/gomi1/g141/,,,,令和8年度,2026-08-19,QA_PASSED,住民向け分別表の公式区分を令和8年度カレンダーで現行確認。,,14,住民が家庭ごみ排出時に選択する公式分別区分を全件照合し、現行カレンダー・公式更新情報で稼働を確認。REFERENCE_ONLYやEXCLUDED_NOTICEは住民向け補助経路として保持。,TRUE,MANUAL_INDEX_REVIEW,CR-M043-CATEGORY-COVERAGE,2026-08-19,OPENAI_CHATGPT_BATCH04_REVIEW,NOT_CHECKED,,NOT_CHECKED,,NOT_CHECKED,
