municipality_id,category_id,自治体正式名称,category_group,parent_category_id,classification_level,表示順,collection_channel,代表品目,入れてはいけない物,適用条件,条件外の扱い,出す前の処理,袋・容器のルール,サイズ・条件,粗大ごみ扱いか,予約が必要か,有料か,料金ルール,自治体収集外か,注意事項,source_id,出典URL,出典ページ・該当箇所,確認日,ui_role,rule_status,effective_from,effective_to
M002,C-M002-01,燃えるごみ,燃えるごみ,,PRIMARY,1,CURBSIDE,生ごみ・再生できない紙・革・ゴム・容器包装以外のプラスチック,資源対象物,,該当する資源区分,生ごみは水切り・枝は50cm以下に束ねる,赤色印字の指定袋,袋を結べる大きさ,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,燃えるごみ,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-02,燃えないごみ,燃えないごみ,,PRIMARY,2,CURBSIDE,陶器・ガラス・金属・小型家電,電池・家電4品目・資源金属,,各専用区分,刃物や割れ物を包み危険表示・家電コードを切る,青色印字の指定袋,袋を結べる大きさ,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,燃えないごみ,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-03,新聞紙,紙類,,PRIMARY,3,CURBSIDE,新聞・折込広告,感熱紙・汚れた紙,,燃えるごみ,種類別にひもで結ぶ,ひも結束,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,新聞紙,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-04,雑誌類,紙類,,PRIMARY,4,CURBSIDE,雑誌・書籍,汚れた紙,,燃えるごみ,ひもで結ぶ,ひも結束,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,雑誌類,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-05,ダンボール類,紙類,,PRIMARY,5,CURBSIDE,段ボール,汚れたもの,,燃えるごみ,たたんでひもで結ぶ,ひも結束,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,ダンボール類,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-06,紙パック,紙類,,PRIMARY,6,CURBSIDE,紙パック,内側アルミ・汚れたもの,,燃えるごみ,洗って開いて乾かし結ぶ,ひも結束,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,紙パック,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-07,その他紙,紙類,,PRIMARY,7,CURBSIDE,菓子箱・包装紙・紙袋,禁忌紙・汚れた紙,,燃えるごみ,紙袋またはひもでまとめる,紙袋またはひも結束,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,その他紙,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-08,アルミ缶,金属類,,PRIMARY,8,CURBSIDE,飲料缶・缶詰缶,一斗缶・塗料缶・スプレー缶,,燃えないごみ,洗ってつぶさない,指定コンテナまたはネットへ直接,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,アルミ缶,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-09,スチール缶,金属類,,PRIMARY,9,CURBSIDE,飲料缶・缶詰缶,一斗缶・塗料缶・スプレー缶,,燃えないごみ,洗ってつぶさない,指定コンテナまたはネットへ直接,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,スチール缶,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-10,無色のビン,ビン類,,PRIMARY,10,CURBSIDE,無色の飲食用びん,薬品びん・割れたびん,,燃えないごみ,中をすすぐ,色別コンテナへ直接,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,無色のビン,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-11,茶色のビン,ビン類,,PRIMARY,11,CURBSIDE,茶色の飲食用びん,薬品びん・割れたびん,,燃えないごみ,中をすすぐ,色別コンテナへ直接,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,茶色のビン,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-12,その他の色のビン,ビン類,,PRIMARY,12,CURBSIDE,その他色の飲食用びん,薬品びん・割れたびん,,燃えないごみ,中をすすぐ,色別コンテナへ直接,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,その他の色のビン,2026-08-17,SORT_BUCKET,CURRENT,,
M002,C-M002-13,ペットボトル,プラスチック類,,PRIMARY,13,CURBSIDE,PET対象の飲料・酒・しょうゆ容器,対象外用途・汚れたもの,,燃えるごみ,キャップとラベルを外しすすぐ,専用ネットへ直接,,FALSE,FALSE,FALSE,,FALSE,,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,ペットボトル,2026-08-17,SORT_BUCKET,CURRENT,,
