municipality_id,category_id,自治体正式名称,category_group,parent_category_id,classification_level,表示順,collection_channel,代表品目,入れてはいけない物,適用条件,条件外の扱い,出す前の処理,袋・容器のルール,サイズ・条件,粗大ごみ扱いか,予約が必要か,有料か,料金ルール,自治体収集外か,注意事項,source_id,出典URL,出典ページ・該当箇所,確認日,ui_role,rule_status,effective_from,effective_to
M095,C-M095-01,燃えるごみ,燃えるごみ,,PRIMARY,1,CURBSIDE,台所ごみ・紙くず・布類・草木等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,生ごみは水切りする,,,FALSE,FALSE,FALSE,,FALSE,,S-M095-01,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,燃えるごみ,2026-08-19,SORT_BUCKET,CURRENT,,
M095,C-M095-02,燃えないごみ,燃えないごみ,,PRIMARY,2,CURBSIDE,なべ・小型家電・陶磁器・ガラス類等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,電池を外し、危険物は安全に保護して出す,,,FALSE,FALSE,FALSE,,FALSE,,S-M095-01,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,燃えないごみ,2026-08-19,SORT_BUCKET,CURRENT,,
M095,C-M095-03,粗大ごみ,粗大ごみ,,PRIMARY,3,CURBSIDE,家具・寝具・ストーブ・自転車等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,粗大ごみシールを貼る,,,TRUE,FALSE,FALSE,,FALSE,,S-M095-01,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,粗大ごみ,2026-08-19,REFERENCE_ONLY,CURRENT,,
M095,C-M095-04,プラスチック資源,プラスチック資源,,PRIMARY,4,CURBSIDE,容器包装プラスチック・対象製品プラスチック,NOT_STATED_IN_CITED_SOURCE,令和8年4月開始の現行プラスチック資源,NOT_STATED_IN_CITED_SOURCE,汚れを落とす,,,FALSE,FALSE,FALSE,,FALSE,,S-M095-01,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,プラスチック資源,2026-08-19,SORT_BUCKET,CURRENT,,
M095,C-M095-05,資源物（びん類・缶類・ペットボトル）,資源物（びん類・缶類・ペットボトル）,,PRIMARY,5,CURBSIDE,飲食用びん・缶・PETボトル,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,中身を空にする,,,FALSE,FALSE,FALSE,,FALSE,,S-M095-01,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,資源物（びん類・缶類・ペットボトル）,2026-08-19,SORT_BUCKET,CURRENT,,
M095,C-M095-06,資源物（紙類）,資源物（紙類）,,PRIMARY,6,CURBSIDE,新聞・雑誌・段ボール等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,NOT_STATED_IN_CITED_SOURCE,,,FALSE,FALSE,FALSE,,FALSE,,S-M095-01,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,資源物（紙類）,2026-08-19,SORT_BUCKET,CURRENT,,
M095,C-M095-07,有害・危険ごみ,有害・危険ごみ,,PRIMARY,7,CURBSIDE,電池類・蛍光管・水銀体温計・スプレー缶・ライター等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,電池は絶縁等の市指定処理。スプレー缶等は中身を使い切る,,,FALSE,FALSE,FALSE,,FALSE,,S-M095-01,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,有害・危険ごみ,2026-08-19,SORT_BUCKET,CURRENT,,
M096,C-M096-01,もやせる物,もやせる物,,PRIMARY,1,CURBSIDE,台所ごみ・紙くず・衣類布くず・木くず等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,生ごみは水切り。指定袋に入る衣類等はこの区分,,,FALSE,FALSE,FALSE,,FALSE,,S-M096-01,https://www.city.takehara.lg.jp/soshikikarasagasu/chiikizukurika/gyomuannai/1_1/2_1/7243.html,もやせる物,2026-08-19,SORT_BUCKET,CURRENT,,
M096,C-M096-02,リサイクルする物,リサイクルする物,,PRIMARY,2,CURBSIDE,ビン・カン・金属・陶磁器・ガラス・小型家電・ペットボトル,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,中身を空にして品目別処理。スプレー缶は使い切り、穴を開ける必要はない,,,FALSE,FALSE,FALSE,,FALSE,,S-M096-01,https://www.city.takehara.lg.jp/soshikikarasagasu/chiikizukurika/gyomuannai/1_1/2_1/7243.html,リサイクルする物,2026-08-19,SORT_BUCKET,CURRENT,,
M096,C-M096-03,資源物,資源物,,PRIMARY,3,CURBSIDE,新聞・ちらし・雑誌・雑紙・書籍・紙パック・段ボール等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,紙の種類別に公式方法でまとめる,,,FALSE,FALSE,FALSE,,FALSE,,S-M096-02,https://www.city.takehara.lg.jp/material/files/group/7/01gomi.pdf,資源物,2026-08-19,SORT_BUCKET,CURRENT,,
