municipality_id,source_id,資料名,資料種別,公式URL,発行主体,対象年度,ページ更新日,取得確認日,使用した情報,優先度,現行性,備考,official_verified,official_basis,official_linking_url
M084,S-M084-01,里庄町でのごみの出し方,自治体公式Webページ,https://www.town.satosho.okayama.jp/site/recycle/,里庄町,令和8年度,2025-12-01,2026-08-19,現行家庭ごみ案内の公式索引,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M084,S-M084-02,資源ごみの分別収集,自治体公式Webページ,https://www.town.satosho.okayama.jp/site/recycle/1248.html,里庄町,令和8年度,2025-12-15,2026-08-19,缶・びん・PET・その他プラ・製品プラ・紙類・古布の7資源区分,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M084,S-M084-03,ごみの出し方（まずこちらをご確認ください）,自治体公式Webページ,https://www.town.satosho.okayama.jp/site/recycle/2040.html,里庄町,令和8年度,2024-04-01,2026-08-19,燃える・燃えない指定袋と粗大ごみ処理制度,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M085,S-M085-01,ごみ,自治体公式Webページ,https://www.town.yakage.okayama.jp/life/kankyo/gomi.html,矢掛町,令和8年度,現行案内中,2026-08-19,ビン・カン・紙・布・ボトル・可燃小/大型・不燃小/大型・水銀・ガレキの住民区分と前処理,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M087,S-M087-01,家庭用ごみの分別・出し方ガイドブック,自治体公式PDF,https://www.town.kagamino.lg.jp/uploaded/attachment/10954.pdf,鏡野町,令和8年度,現行配布,2026-08-19,家庭ごみの分別体系・代表品目・前処理,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M087,S-M087-02,令和8年度ごみ収集カレンダー,自治体公式Webページ,https://www.town.kagamino.lg.jp/soshiki/1/1091.html,鏡野町,令和8年度,2026-03-10,2026-08-19,令和8年度に同体系が稼働すること,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M087,S-M087-03,鏡野町一般廃棄物処理基本計画,自治体公式PDF,https://www.town.kagamino.lg.jp/uploaded/attachment/14008.pdf,鏡野町,令和8年度,現行,2026-08-19,可燃・不燃・プラ容器包装・資源4系統・粗大の区分確認,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M088,S-M088-01,家庭ごみの出し方,自治体公式Webページ,https://www.town.shoo.lg.jp/soshiki/16/1248.html,勝央町,令和8年度,2024-12-16,2026-08-19,7種分別収集の公式総数と7正式名称,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M088,S-M088-02,環境班／令和8年度ごみカレンダー,自治体公式Webページ,https://www.town.shoo.lg.jp/soshiki/16/,勝央町,令和8年度,2026-04-01,2026-08-19,令和8年度も家庭ごみ区分が現行であること,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M089,S-M089-01,ごみ収集,自治体公式Webページ,https://www.town.nagi.okayama.jp/gyousei/kurashi/shinyou_gomi_risaikuru/gomi_risaikuru/gomi_shushu.html,奈義町,令和8年度,2026-03-18,2026-08-19,可燃ごみ、資源ごみ・小型不燃ごみ・有害なごみの現行定期収集ラベル,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M090,S-M090-01,ごみの出し方とごみ収集カレンダー,自治体公式Webページ,https://www.vill.nishiawakura.okayama.jp/wp/%E3%81%94%E3%81%BF%E3%81%AE%E5%87%BA%E3%81%97%E6%96%B9%E3%81%A8%E3%81%94%E3%81%BF%E5%8F%8E%E9%9B%86%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC/,西粟倉村,令和8年度,現行案内中,2026-08-19,美作市委託と令和8年度村版カレンダーへの公式導線,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M090,S-M090-02,令和8年度ごみカレンダー（西粟倉版）,自治体公式PDF,https://www.vill.nishiawakura.okayama.jp/wp/wp-content/uploads/2023/03/0ca6f4a15b068ee9f193023d607dc9f0.pdf,西粟倉村,令和8年度,令和8年度,2026-08-19,可燃・資源・かん・びん等・古紙の5収集グループ,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M091,S-M091-01,ごみの分別,自治体公式Webページ,https://www.town.kumenan.lg.jp/living/dust_recycle/dust_recycle/bunbetsu.html,久米南町,令和8年度,現行案内中,2026-08-19,資源紙4・資源容器5・適正処理・燃やす・プラ・燃えない・粗大の全区分と前処理,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M092,S-M092-01,ごみについて,自治体公式Webページ,https://www.town.okayama-misaki.lg.jp/kurashi/gomi-kankyo/1/1/1916.html,美咲町,令和8年度,2026-03-30,2026-08-19,全町統一分別、指定袋3種、粗大ごみ、令和8年度日程表への公式導線,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M092,S-M092-02,令和8年度ごみ収集日程表（中央地域）,自治体公式PDF,https://www.town.okayama-misaki.lg.jp/material/files/group/8/R8gomicalendar_chuo.pdf,美咲町,令和8年度,令和8年度,2026-08-19,可燃・不燃・プラ容器包装・資源・粗大の現行収集ラベル,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M093,S-M093-01,ごみ（収集・分別）,自治体公式Webページ,https://www.town.kibichuo.lg.jp/soshiki/7/4401.html,吉備中央町,令和8年度,2026-04-23,2026-08-19,可燃・不燃・資源各品目・可燃/不燃粗大・蛍光管の現行案内,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M093,S-M093-02,令和8年度吉備中央町ごみ収集日程表,自治体公式PDF,https://www.town.kibichuo.lg.jp/uploaded/attachment/12948.pdf,吉備中央町,令和8年度,令和8年度,2026-08-19,11の住民向け収集葉を全件照合,2,現行,,TRUE,MUNICIPAL_DOMAIN,
