municipality_id,確認日,ごみトップ,現行ルール,全分別区分,正式名称,代表品目,前処理,袋容器,危険有害,収集しない物,公式出典,参照整合性,Schema検証,category_count_verified,rule_status検証,ui_role検証,検索サービス確認済み,検索サービス存在,やさしい日本語確認済み,やさしい日本語存在,多言語確認済み,多言語存在,粗大ごみ,確認ステータス,備考
M012,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,QA_PASSED,Schema v1.2.3で機械再計算
M014,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,QA_PASSED,Schema v1.2.3で機械再計算
M015,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,QA_PASSED,Schema v1.2.3で機械再計算
M016,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,QA_PASSED,Schema v1.2.3で機械再計算
M017,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,QA_PASSED,Schema v1.2.3で機械再計算
M018,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,QA_PASSED,Schema v1.2.3で機械再計算
M019,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,QA_PASSED,Schema v1.2.3で機械再計算
M020,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,QA_PASSED,Schema v1.2.3で機械再計算
M021,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NOT_APPLICABLE,QA_PASSED,Schema v1.2.3で機械再計算
M022,2026-08-18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,QA_PASSED,Schema v1.2.3で機械再計算
