mapping_id,municipality_id,internal_item_id,branch_order,自治体での品目表記,category_id,分別区分正式名称,条件,前処理,例外分別先,自治体収集外,rule_status,effective_from,effective_to,category_source_id,category_source_url,category_source_locator,item_evidence_source_id,item_evidence_url,item_evidence_locator,確認日,mapping_status,evidence_scope,branch_review_status,reviewed_date,reviewed_by,備考
MAP-M012-I001-C-M012-09,M012,I001,1,category正式名称・代表品目から機械抽出,C-M012-09,ペットボトル,要品目別確認,キャップとラベルを外し、中をすすいでつぶす,他のプラ表示はその他プラスチック、塗装品は燃やせるごみ,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p27 かん・びん・ペットボトル,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M012-I004-C-M012-07,M012,I004,1,category正式名称・代表品目から機械抽出,C-M012-07,かん,要品目別確認,中をすすぎ、つぶさずに出す,塗料缶等は中身を除いて燃やせないごみ,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p27 かん・びん・ペットボトル,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M012-I005-C-M012-07,M012,I005,1,category正式名称・代表品目から機械抽出,C-M012-07,かん,要品目別確認,中をすすぎ、つぶさずに出す,塗料缶等は中身を除いて燃やせないごみ,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p27 かん・びん・ペットボトル,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M012-I006-C-M012-08,M012,I006,1,category正式名称・代表品目から機械抽出,C-M012-08,びん,要品目別確認,ふたを外して中をすすぐ,対象外びんは中身を除いて燃やせないごみ。リターナブルびんは販売店返却可,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p27 かん・びん・ペットボトル,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M012-I012-C-M012-06,M012,I012,1,category正式名称・代表品目から機械抽出,C-M012-06,その他プラスチック,要品目別確認,中身を空にし、汚れを洗うか拭き取って乾かす,製品プラスチックとかみそりは燃やせないごみ、汚れが落ちない物は燃やせるごみ,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p26 その他プラスチック,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M012-I013-C-M012-10,M012,I013,1,category正式名称・代表品目から機械抽出,C-M012-10,新聞,要品目別確認,新聞と折込広告を一緒に種類別にまとめる,リサイクルできない紙は燃やせるごみ,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p28 紙類,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M012-I014-C-M012-13,M012,I014,1,category正式名称・代表品目から機械抽出,C-M012-13,段ボール,要品目別確認,折りたたんで種類別にまとめる,汚れた物は燃やせるごみ,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p28 紙類,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M012-I015-C-M012-11,M012,I015,1,category正式名称・代表品目から機械抽出,C-M012-11,雑誌,要品目別確認,雑誌・書籍・ノートを種類別にまとめる,金具は燃やせないごみ、リサイクルできない紙は燃やせるごみ,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p28 紙類,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M012-I017-C-M012-14,M012,I017,1,category正式名称・代表品目から機械抽出,C-M012-14,紙パック,要品目別確認,洗って切り開き、乾かす。キャップ口等の非紙部分は切り取る,内側アルミ加工品は燃やせるごみ。注ぎ口等の非紙部分は切り離して材質別区分,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p28 紙類,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M012-I018-C-M012-01,M012,I018,1,category正式名称・代表品目から機械抽出,C-M012-01,燃やせるごみ,要品目別確認,生ごみは水を切る。枝木は太さ5cm以下・長さ50cm以下にして直径30cm程度にひもで束ねる,アルミホイルは燃やせないごみ、資源化できる物は各資源区分,FALSE,CURRENT,,,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,p23 燃やせるごみ,,,,2026-08-18,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
