municipality_id,source_id,資料名,資料種別,公式URL,発行主体,対象年度,ページ更新日,取得確認日,使用した情報,優先度,現行性,備考,official_verified,official_basis,official_linking_url
M126,S-M126-01,令和8年度柳井市ごみ収集カレンダー,自治体公式Webページ,https://www.city-yanai.jp/site/gomi-risaikuru/list141-1221.html,柳井市,令和8年度,2026-03-25,2026-08-19,令和8年度も現行ごみ出し体系が運用されること,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M126,S-M126-02,ごみの出し方（カン・金属類）,自治体公式Webページ,https://www.city-yanai.jp/site/gomi-risaikuru/gomidashi3.html,柳井市,令和8年度,2021-12-24,2026-08-19,カン・金属類の現行排出方法。スプレー缶は使い切り、屋外で穴を開ける,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M126,S-M126-03,ごみの出し方（ビン・乾電池）,自治体公式Webページ,https://www.city-yanai.jp/site/gomi-risaikuru/gomidashi4.html,柳井市,令和8年度,2024-03-06,2026-08-19,ガラスビンと乾電池を分け、透明袋へ出す,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M126,S-M126-04,ごみの出し方（ペットボトル・古紙）,自治体公式Webページ,https://www.city-yanai.jp/site/gomi-risaikuru/gomidashi5.html,柳井市,令和8年度,2017-06-08,2026-08-19,PETは指定回収ボックス。古紙は新聞・チラシ／段ボール／雑誌・本・その他の紙の3種別,4,現行,,TRUE,MUNICIPAL_DOMAIN,
M126,S-M126-05,ごみの出し方（可燃ごみ）,自治体公式Webページ,https://www.city-yanai.jp/site/gomi-risaikuru/gomidashi1.html,柳井市,令和8年度,2022-07-11,2026-08-19,可燃ごみと粗大ごみ境界,5,現行,,TRUE,MUNICIPAL_DOMAIN,
M126,S-M126-06,ごみの出し方（不燃ごみ）,自治体公式Webページ,https://www.city-yanai.jp/site/gomi-risaikuru/gomidashi2.html,柳井市,令和8年度,2022-07-11,2026-08-19,不燃ごみと電池取り外し等の前処理,6,現行,,TRUE,MUNICIPAL_DOMAIN,
M126,S-M126-07,粗大ごみの出し方,自治体公式Webページ,https://www.city-yanai.jp/site/gomi-risaikuru/list138.html,柳井市,令和8年度,現行案内中,2026-08-19,粗大ごみの直接搬入・戸別収集経路,7,現行,,TRUE,MUNICIPAL_DOMAIN,
M128,S-M128-01,ごみの分別方法について（2024年4月1日～）,自治体公式Webページ,https://www.city.shunan.lg.jp/soshiki/19/33474.html,周南市,令和8年度,2024-04-11,2026-08-19,市全域向け現行分別冊子索引。燃やせる、古紙・衣類、びん・缶類/PET、プラ2区分、燃やせない、使用済小型家電、処理困難物、粗大ごみ,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M128,S-M128-02,カセットボンベ、スプレー缶などのごみ出しについて,自治体公式Webページ,https://www.city.shunan.lg.jp/soshiki/19/31412.html,周南市,令和8年度,2024-01-31,2026-08-19,処理困難物。中身を使い切り、穴を開ける,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M128,S-M128-03,粗大ごみ戸別収集のご案内,自治体公式Webページ,https://www.city.shunan.lg.jp/soshiki/19/39046.html,周南市,令和8年度,2024-03-01,2026-08-19,粗大ごみは戸別予約または自己搬入,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M129,S-M129-01,家庭ごみの出し方,自治体公式Webページ,https://www.city.sanyo-onoda.lg.jp/soshiki/14/howtotrash3104.html,山陽小野田市,令和8年度,2025-09-01,2026-08-19,市全域向け現行分別体系。燃やせる・燃やせない・空びん・古紙・PET・空かん・古着布類・発泡スチロール白色トレイ・大型ごみ,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M130,S-M130-01,ごみの分け方検索,自治体公式検索サービス,https://www.town.suo-oshima.lg.jp/garbage-item/search/search.php,周防大島町,令和8年度,現行,2026-08-19,種類でさがすの12現行区分と収集不能2通知区分,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M130,S-M130-02,ごみ分別の手引きを改訂しました,自治体公式Webページ,https://www.town.suo-oshima.lg.jp/soshiki/16/1268.html,周防大島町,令和8年度,2023-11-20,2026-08-19,充電式電池を有害ごみへ変更。スプレー缶は使い切れば穴あけ不要,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M130,S-M130-03,ごみの収集,自治体公式Webページ,https://www.town.suo-oshima.lg.jp/soshiki/16/1282.html,周防大島町,令和8年度,2025-04-01,2026-08-19,各区分の現行処理経路、特定家庭用機器・家庭用パソコンの特殊経路,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M131,S-M131-01,ごみの出し方と収集,自治体公式Webページ,https://www.town.waki.lg.jp/soshiki/4/214.html,和木町,令和8年度,現行案内中,2026-08-19,焼却、プラマーク、金属不燃、粗大、PET、リサイクルびん、陶器ガラス、蛍光灯、電池ライタースプレー、新聞雑誌段ボール、衣類の11区分,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M132,S-M132-01,ごみの出し方（定期収集）,自治体公式Webページ,https://www.town.kaminoseki.lg.jp/%E3%81%94%E3%81%BF%E3%81%AE%E5%87%BA%E3%81%97%E6%96%B9%EF%BC%88%E5%AE%9A%E6%9C%9F%E5%8F%8E%E9%9B%86%EF%BC%89.html,上関町,令和8年度,2024-09-25,2026-08-19,燃える、古紙紙パック、リサイクルビン、ガラス灰、金属、小型家電、空缶、粗大の町全域向け体系,1,現行,,TRUE,MUNICIPAL_DOMAIN,
