municipality_id,category_id,自治体正式名称,category_group,parent_category_id,classification_level,表示順,collection_channel,代表品目,入れてはいけない物,適用条件,条件外の扱い,出す前の処理,袋・容器のルール,サイズ・条件,粗大ごみ扱いか,予約が必要か,有料か,料金ルール,自治体収集外か,注意事項,source_id,出典URL,出典ページ・該当箇所,確認日,ui_role,rule_status,effective_from,effective_to
M044,C-M044-01,可燃ごみ,可燃ごみ,,PRIMARY,1,CURBSIDE,生ごみ・紙くず・可燃性の家庭ごみ,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,生ごみは水切り,町指定袋,,FALSE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／可燃ごみ,2026-08-19,SORT_BUCKET,CURRENT,,
M044,C-M044-02,不燃ごみ,不燃ごみ,,PRIMARY,2,CURBSIDE,金属・陶磁器・ガラス・硬質プラスチック等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,割れ物・刃物は危険防止,,,FALSE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／不燃ごみ,2026-08-19,SORT_BUCKET,CURRENT,,
M044,C-M044-03,不燃粗大ごみ,不燃粗大ごみ,,PRIMARY,3,CURBSIDE,指定袋に入らない大型不燃物,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,NOT_STATED_IN_CITED_SOURCE,,,TRUE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／不燃粗大ごみ,2026-08-19,SORT_BUCKET,CURRENT,,
M044,C-M044-04,缶・ビン,缶・ビン,,PRIMARY,4,CURBSIDE,飲食用缶・びん,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,中身を空にして洗う,,,FALSE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／資源ごみ（缶・ビン）,2026-08-19,SORT_BUCKET,CURRENT,,
M044,C-M044-05,再生利用ビン,再生利用ビン,,PRIMARY,5,CURBSIDE,再使用できる指定びん,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,NOT_STATED_IN_CITED_SOURCE,,,FALSE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／資源ごみ（再生利用ビン）,2026-08-19,SORT_BUCKET,CURRENT,,
M044,C-M044-06,古紙類,古紙類,,PRIMARY,6,CURBSIDE,新聞・雑誌・段ボール・紙パック等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,種類別にまとめる,,,FALSE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／資源ごみ（古紙類）,2026-08-19,SORT_BUCKET,CURRENT,,
M044,C-M044-07,発泡スチロール・軟質プラスチック,発泡スチロール・軟質プラスチック,,PRIMARY,7,CURBSIDE,発泡スチロール・軟質プラスチック類,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,汚れを落とす,,,FALSE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／資源ごみ（発泡スチロール・軟質プラスチック）,2026-08-19,SORT_BUCKET,CURRENT,,
M044,C-M044-08,ペットボトル,ペットボトル,,PRIMARY,8,CURBSIDE,PETマークのボトル,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,キャップとラベルを外し中をすすぐ,,,FALSE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／資源ごみ（ペットボトル）,2026-08-19,SORT_BUCKET,CURRENT,,
M044,C-M044-09,布類,布類,,PRIMARY,9,CURBSIDE,衣類・タオル・シーツ類,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,袋の口をしばる,布類専用袋等,,FALSE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／布類,2026-08-19,SORT_BUCKET,CURRENT,,
M044,C-M044-10,有害ごみ,有害ごみ,,PRIMARY,10,CURBSIDE,乾電池・蛍光管・水銀製品等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,電池は絶縁し、蛍光管は破損防止,,,FALSE,FALSE,FALSE,,FALSE,,S-M044-01,https://www.houki-town.jp/new1/10/12/gomi/6/c935/,冊子／有害ごみ,2026-08-19,SORT_BUCKET,CURRENT,,
