municipality_id,source_id,資料名,資料種別,公式URL,発行主体,対象年度,ページ更新日,取得確認日,使用した情報,優先度,現行性,備考,official_verified,official_basis,official_linking_url
M116,S-M116-01,家庭ごみの分け方・出し方,自治体公式Webページ,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,神石高原町,令和8年度,現行案内中,2026-08-19,燃やしてよいごみ、空きカン3区分、空きビン3区分、容器包装プラ3区分、不燃系4区分、資源化ごみ、粗大、特定家電、有害ごみ,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M116,S-M116-02,粗大ごみ,自治体公式Webページ,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/sodai/sodai/,神石高原町,令和8年度,現行案内中,2026-08-19,粗大ごみの対象と排出経路,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M116,S-M116-03,有害ごみ,自治体公式Webページ,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/sodai/yugai/,神石高原町,令和8年度,現行案内中,2026-08-19,乾電池・ボタン電池・充電式電池・蛍光灯・水銀製品等の現行経路,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M117,S-M117-01,令和8年（2026年）度ごみの分け方・出し方ガイド,自治体公式Webページ,https://www.city.shimonoseki.lg.jp/site/gomi/143543.html,下関市,令和8年度,2026-06-25,2026-08-19,令和8年度のステーション収集・戸別収集体系と古紙等の現行案内,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M117,S-M117-02,令和8年度ごみの分け方・出し方ガイド 前半,自治体公式PDF,https://www.city.shimonoseki.lg.jp/uploaded/attachment/93751.pdf,下関市,令和8年度,令和8年度,2026-08-19,燃やせるごみ、資源ごみ、古紙の区分と前処理,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M117,S-M117-03,令和8年度ごみの分け方・出し方ガイド 後半,自治体公式PDF,https://www.city.shimonoseki.lg.jp/uploaded/attachment/93738.pdf,下関市,令和8年度,令和8年度,2026-08-19,燃やせないごみ、有害ごみ、粗大ごみ等の現行ルール,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M118,S-M118-01,家庭ごみの出し方,自治体公式Webページ,https://www.city.ube.yamaguchi.jp/kurashi/gomi/dashikata/1001956/index.html,宇部市,令和8年度,現行案内中,2026-08-19,燃やせる、プラ容器包装、燃やせない、月1回燃やせる、危険、びん缶、PET、紙製容器包装、古紙3区分,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M118,S-M118-02,びん・缶,自治体公式Webページ,https://www.city.ube.yamaguchi.jp/kurashi/gomi/dashikata/1001956/1001961.html,宇部市,令和8年度,2025-11-26,2026-08-19,びん・缶の前処理とスプレー缶の穴あけ必須,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M118,S-M118-03,充電式電池の出し方,自治体公式Webページ,https://www.city.ube.yamaguchi.jp/kurashi/gomi/dashikata/1001966/1014463.html,宇部市,令和8年度,現行案内中,2026-08-19,充電式電池はステーション外の回収ボックス等へ出す現行経路,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M118,S-M118-04,粗大ごみの戸別収集,自治体公式Webページ,https://www.city.ube.yamaguchi.jp/kurashi/gomi/dashikata/1001966/index.html,宇部市,令和8年度,現行案内中,2026-08-19,予約制有料の粗大ごみ戸別収集,4,現行,,TRUE,MUNICIPAL_DOMAIN,
M119,S-M119-01,令和8年度ごみ・資源収集カレンダー,自治体公式Webページ,https://www.city.yamaguchi.lg.jp/site/gomisigen/188479.html,山口市,令和8年度,2026-01-27,2026-08-19,令和8年度に運用される住民向け分別体系,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M119,S-M119-02,古紙の出し方,自治体公式Webページ,https://www.city.yamaguchi.lg.jp/site/gomisigen/69641.html,山口市,令和8年度,現行案内中,2026-08-19,紙製容器包装・新聞・ダンボール・紙パック・雑がみの5品目を品目別に排出,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M119,S-M119-03,金属・小型家電製品,自治体公式Webページ,https://www.city.yamaguchi.lg.jp/site/gomisigen/69645.html,山口市,令和8年度,現行案内中,2026-08-19,金属・小型家電製品の現行区分,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M119,S-M119-04,有害ごみ(1),自治体公式Webページ,https://www.city.yamaguchi.lg.jp/site/gomisigen/79591.html,山口市,令和8年度,2026-07-15,2026-08-19,スプレー缶・カセットボンベ・蛍光管・乾電池・水銀体温計等の現行DROP_OFF区分,4,現行,,TRUE,MUNICIPAL_DOMAIN,
M119,S-M119-05,有害ごみ(2),自治体公式Webページ,https://www.city.yamaguchi.lg.jp/site/gomisigen/92657.html,山口市,令和8年度,2026-07-15,2026-08-19,充電式電池・モバイルバッテリー・ボタン電池・電子たばこ等の現行DROP_OFF区分,5,現行,,TRUE,MUNICIPAL_DOMAIN,
